Week 1st to 11th,,,09:00-10:30 hrs,11:00-12:30 hrs,13:00-14:30 hrs,15:00-16:30 hrs,17:00-18:30 hrs,19:00-20:30 hrs
WEEK -5,19-Jul-21,Monday,PM (LH-3),POS (LH-3),IBBV (S2) (LH-3)/ DAP (S1) (LH-4),IBBV (S1) (LH-3) / DAP (S2) (LH-4),ASSAM (S2) (LH-3) / SAPM (S1) (LH-4),ASSAM (S1) (LH-3) / SAPM (S2) (LH-4)
,20-Jul-21,Tuesday,FIS (LH-3),ASSAM (S2) (LH-3) / IBBV (S1) (LH-4),ASSAM (S1) (LH-3) / IBBV (S2) (LH-4),ITSMDA (LH-3),OSCA (LH-3),MA (LH-3)
,21-Jul-21,Wednesday,ID-UZ-ZUHA (BAKRID),,,,,
,22-Jul-21,Thursday,IMC (S1) (LH-3)/ DAP (S2) (LH-4),IMC (S2) (LH-3)/ DAP (S1) (LH-4),OSCA (LH-3),OSCA (LH-3),B2B (S2) (LH-3) / CSIE (S1) (LH-4),B2B (S1) (LH-3) / CSIE (S2) (LH-4)
,23-Jul-21,Friday,FIS (LH-3),MPPF (S1) (LH-3) / IBBV (S2) (LH-4),MPPF (S2) (LH-3) / IBBV (S1) (LH-4),CB (S2) (LH-3) / CS (S1) (LH-4),CB (S1) (LH-3) / CS (S2) (LH-4),MA (LH-3)
,24-Jul-21,Saturday,COR.B VS3 (LH-3),IMC (S2) (LH-3) / B2B (S1) (LH-4),IMC (S1) (LH-3) / B2B (S2) (LH-4),POS (LH-3),SSLT (LH-3),MPP (LH-3)
,25-Jul-21,Sunday,,SSLT (LH-3),SSLT (LH-3),COR.B VS4 (LH-3),COR.B VS5 (LH-3),MPP (LH-3)
WEEK -6,26-Jul-21,Monday,FIS (LH-3),DAP (S1) (LH-3) / CS (S2) (LH-4),DAP (S2) (LH-3) / CS (S1) (LH-4),IMC (S1) (LH-3) / CB (S2) (LH-4),IMC (S2) (LH-3) / CB (S1) (LH-4),PM (LH-3)
,27-Jul-21,Tuesday,MA (LH-3),CSR (S1) (LH-3) / IBBV (S2) (LH-4),CSR (S2) (LH-3) / IBBV (S1) (LH-4),ITSMDA (LH-3),BF (LH-3),POS (LH-3)
,28-Jul-21,Wednesday,FIS (LH-3),DAP (S2) (LH-3) / B2B (S1) (LH-4),DAP (S1) (LH-3) / B2B (S2) (LH-4),,CS (S2) (LH-3) / CSIE (S1) (LH-4),CS (S1) (LH-3) / CSIE (S2) (LH-4)
,29-Jul-21,Thursday,COR.B VS6 (LH-3),MPPF (S1) (LH-3)/ IBBV (S2) (LH-4),MPPF (S2) (LH-3)/ IBBV (S1) (LH-4),ITSMDA (LH-3),PM (LH-3),MA (LH-3)
,30-Jul-21,Friday,BF (LH-3),EAHRDM (LH-3),POS (LH-3),IMC (S2) (LH-3) / B2B (S1) (LH-4),IMC (S1) (LH-3) / B2B (S2) (LH-4),MPP (LH-3)
,31-Jul-21,Saturday,FIS (LH-3),IBBV (S1) (LH-3) / CB (S2) (LH-4),IBBV (S2) (LH-3) / CB (S1) (LH-4),PM (LH-3),SSLT (LH-3),MPP (LH-3)
,1-Aug-21,Sunday,CB (S1) (LH-3) / SAPM (S2) (LH-4),CB (S2) (LH-3) / SAPM (S1) (LH-4),SSLT (LH-3),SSLT (LH-3),,MPP (LH-3)